['Bank of England rebuked over Brexit  assessment']	The Irish Times	['May 25, 2016, 01:00']	[u'Mark Carney has once again been forced to defend the Bank of Englands stance on ', ', amid']
[u'Brexit could restore check your boot border, says Mary McAleese']	The Irish Times	['May 24, 2016, 19:28']	[' ', u', what happens to that road? People tell me it will be the same. How do they know? I dont know. I']
['Boris Johnson pumps out   Brexit rhetoric   as campaign wanes']	The Irish Times	['May 24, 2016, 19:16']	[' English ', u',  one man roars. They cheer when he dismisses David Camerons renegotiation deal as']
[u'Brexit: Irish Border system should not change dramatically  ']	The Irish Times	[]	[' altered seriously with a ', '.  What exactly the Border would look like after a separation is less']
['Boyband Five pull out of pro-Brexit gig']	The Irish Times	[]	['Boyband Five have pulled out of a ', ' gig organised by the Leave.EU campaign after discovering']
[u'Bank of Englands Carney defends message on Brexit risk']	The Irish Times	[]	[' the EU. Rees-Mogg has previously accused Carney of venturing into politics with his ', ' warnings']
['Brexiters have monopoly on insincerity and elitism']	The Irish Times	['May 24, 2016, 10:57']	['The man who runs the National Health Service in England said on Sunday that a British exit from the EU would disrupt his work. Simon Stevens is now, a']
['Cantillon: dark clouds still hanging over PTSB']	The Irish Times	[]	[' in selling the remainder of its UK mortgage assets in a country gripped by fear of ', '.  PTSB']
['Stocktake: The problem with those closet tracker funds ']	The Irish Times	['May 24, 2016, 07:15']	['; within six weeks, five of them had been abandoned. Betting against ', ' A British vote to remain in']
['AIB seeks to draw line under whistleblower allegation']	The Irish Times	[]	[u' been negatively impacted by market volatility from macro events and ', ' fears, which has led to']
['The Brexit debate and Ireland']	The Irish Times	[]	[u'Sir,  The more the debate over a possible ', ' continues, the more I am convinced this is a']
['Irish urged to encourage friends to vote in EU referendum']	The Irish Times	['May 24, 2016, 01:00']	['British ambassador says those eligible to vote can  make their voice heard on ', '   ']
['Austrian election: A narrow escape, and a warning']	The Irish Times	[]	[u' Hofers vote, and the likely size of the ', u' vote  whether successful or not  like-minded parties']
