['Duncan Smith accuses Cameron of bowing to German migration demand ']	The Irish Times	['May 10, 2016, 15:27']	[u' recent days, with Mr Cameron ridiculing justice secretary Michael Goves claims about a post-']
['ECB asks large euro zone banks to detail Brexit plans']	The Irish Times	[]	[' a ', u' may affect our business model, the person said. The source added that his bank saw only']
['Dublin could capture flow of financial jobs post-Brexit']	The Irish Times	[]	[u' Dublins financial services sector could stand to benefit if the UK votes to leave the European Union next month, as Chancellor of the Exchequer Geor']
[u'Grafton eyes further Dutch acquisitions after 91.5 million deal']	The Irish Times	[]	[' ', u'.  Its taken quite a long time in the UK for the EU referendum to really get to the front of']
[u'Brexit  weighing up the possibilities']	The Irish Times	[]	[u'Sir,  I am unclear as to why you would bombard us with further scaremongering views on ']
['Brexit: Little love for EU in North as parties stake out positions']	The Irish Times	['May 10, 2016, 01:00']	['. Uncertainty about the implications of a ', ' concern Tener. He would not like to see Border controls being']
['Nearly 75% of business people in North to vote against Brexit']	The Irish Times	['May 10, 2016, 01:00']	[' of the uncertainty over the possibility of ', u'. It says it has dampened local investment levels']
['George Osborne warns many financial jobs at risk in Brexit']	The Irish Times	[]	['-denominated securities out of London. However, Boris Johnson, the pro-', ' former London mayor, recalled similar']
['CAP payments critical to N Irish economy - Phil Hogan ']	The Irish Times	['May 9, 2016, 21:12']	[' featured prominently in the ', ' referendum debate, it was of critical importance to Northern Ireland']
['Cameron and Johnson at war over EU peace-keeping role ']	The Irish Times	['May 9, 2016, 17:44']	['Cameron warns that a ', ' could make another European war more likely   ']
[u'Opinion: Potential Brexit already impacting Irish exports']	The Irish Times	[]	[u' regarding Irish exporters attitudes towards a potential ', u' in the upcoming UK referendum.  Ninety']
['Half of Europeans want referendum on EU membership']	The Irish Times	[]	[' half of respondents said a so-called ', u' would have a negative impact on the EUs economy and its']
[u'NTMA to raise 750m in bond markets']	The Irish Times	['May 9, 2016, 10:17']	[' investors awaiting the formation of the new Government and also the outcome of the ', ' referendum. Market']
['For your diary']	The Irish Times	['May 9, 2016, 06:50']	[' the implications of ', ' (Gibson Hotel, Dublin 1). Indicators: German inflation rate (Apr); US']
['Panama Papers: Secret offshore world feeds global inequality']	The Irish Times	['May 9, 2016, 06:00']	[' At a meeting on ', ' and the law last week in Dublin, former attorney general Paul Gallagher SC']
['Brexit and Ireland: Border towns anxiously await referendum ']	The Irish Times	['May 9, 2016, 01:00']	[' Ireland Theresa Villiers, who is campaigning on the Leave side, claims that, in the event of a ', ', the']
['Brexit - the day after: what would it be like? ']	The Irish Times	['May 7, 2016, 05:45']	[' status has been changed against its will. The ', ' referendum result is yet another upset for the']
[u'Britains Europe: A Thousand Years of Conflict and Co-operation by Brendan Simms']	The Irish Times	[]	[u' ', u' and Bremain debate comes from Brendan Simms, an Irish historian and Professor of the History of']
['World View: German paper outlines vision for EU defence union ']	The Irish Times	['May 7, 2016, 01:00']	['A Berlin leak to the Financial Times this week has given a new twist to the ', ' debate that will']
['Labour Party suffers further ignominy in Scotland']	The Irish Times	[]	[' Scotland will reject ', u'. Labours leadership challenge south of the border was replicated in Scotland']
[u'Nigel Farage hails breakthrough as Ukip wins seven seats in Welsh Assembly  ']	The Irish Times	[]	[u' emailed statement, adding that Ukip now had a large voice in Wales to campaign for ', u'.  Britain']
[u' Britain would be better off without the EU, says Donald Trump']	The Irish Times	['May 6, 2016, 18:00']	['Donald Trump, the presumptive Republican presidential nominee, has weighed into the ', ' debate']
['Brexit: Unavoidable consequences and uncertainties for Ireland']	The Irish Times	[]	[' changes. Certain changes would be inescapable as a result of ', ', even if efforts were made to minimise']
[u'Donald Trump backs Brexit, saying UK better off out of EU']	The Irish Times	[]	[' ', u', saying the UK would be better off outside of the European Union and lamenting the consequences']
['Real  test for government will come when lofty plans meet fiscal constraints']	The Irish Times	['May 6, 2016, 06:37']	[' the outside world, all the more so in light of elevated post-crisis debts and the looming ']
[u'Brexit by far biggest issue for Irish business, says Ibec chief']	The Irish Times	['May 6, 2016, 01:00']	[u'.  The conference, on the legal implications of a potential ', ', organised by Ibec and the Irish']
[u'John Malones Liberty Global may give 500,000 to UK Remain campaign']	The Irish Times	[]	[' campaign lobbying to keep the country in the European Union, as the country prepare to cast votes on ']
['Consumer sentiment creeps higher in April ']	The Irish Times	['May 5, 2016, 12:00']	[' uncertainty over the international outlook, fuelled by ', ' and other factors, which is being partially']
[u'Kingspan chief sees sales topping 3bn even as Brexit weighs']	The Irish Times	[]	[' as ', ' concerns mount. The Cavan-based company, which posted 25 per cent sales growth in the first']
['Cantillon: Ireland a near non-event in Brexit discussions']	The Irish Times	[]	[u'Theres no shortage of doom-laden local assessments of the implications of a ', ' for Ireland']
['A test of  political  compromise']	The Irish Times	[]	[' ', u' outcome in next months UK referendum. Both Fine Gael and Fianna Fil have made policy']
['Buoyant tax returns paper over lingering pressures']	The Irish Times	['May 4, 2016, 18:21']	[' turmoil on global markets was followed in short order by news of incipient threats from the looming ']
['Martin Wolf: Brexit will damage the UK']	The Irish Times	['May 4, 2016, 14:48']	[' accountability and effectiveness lies with the status quo.  The price of ', ' will be much diminished']
['Unemployment rate drops to 8.4% as more youths find work']	The Irish Times	[]	[u' many significant risks to our continuing recovery  including ', ', conflict and instability in the']
[u'Irish Brexit concerns not impacting on  debate- Humphrys ']	The Irish Times	[]	[u'Irish concerns over a possible ', u' have not had a big impact on the debate in Britain']
['Lakeland reports 10% rise in profit despite dairy slump']	The Irish Times	[]	[u' a possible ', u' might have on the business, although he said the society was prepared for such']
['No pension freedom for Irish retirees']	The Irish Times	['May 3, 2016, 12:43']	[' conference polled attendees on their investment concerns, with only 14 per cent citing ', ' as the biggest']
['Manufacturing growth at weakest level since November 2013']	The Irish Times	['May 3, 2016, 07:25']	['Upcoming ', ' referendum cited as a key risk for Irish exporters   ']
['Belfast briefing: Job creation key to Northern Ireland  elections ']	The Irish Times	['May 3, 2016, 07:00']	[' elections are, of course, not just all about the economy. Health, education and ', ' are also among the']
['John FitzGerald: Ireland must protect  interests under Brexit']	The Irish Times	['May 3, 2016, 06:00']	[' equals. If the UK votes to leave the EU, a ', ', it is UK civil servants who will, instead, find']
['Campaign calls for Irish in Britain to vote on Brexit']	The Irish Times	[]	[' consequences of a British exit, which has become known as ', ', are the subject of passionate debate which']
['Just 3% of Irish business leaders believe UK should leave EU']	The Irish Times	['May 2, 2016, 12:55']	[' potential impact of ', u'. He said: With 1.6 million EU workers currently working in the UK, making up 6']
[u'Irish firms using invoice finance generated 25.9bn in 2015']	The Irish Times	['May 2, 2016, 06:40']	[', Ireland and the EU, as well as the potential implications for exporters in the face of ', '. Ms Bishop']
['North election: Social and economic concerns vie for prominence']	The Irish Times	[]	['; business tax rates; and the implications of ', ' have been some of the main themes to feature in hustings']
[u'Labour anti-Semitism claims dismissed as smears']	The Irish Times	[]	[' vote in favour of ', ' potentially sparking an internal coup. Opponents have accused him of acting']
[u'Business Week: clamour for stable government as Brexit vote looms']	The Irish Times	['April 30, 2016, 06:30']	[' Government was not prepared for a ', ' and that work on a contingency plan must get under way. For its']
['World View: Obama turns attention to his legacy']	The Irish Times	['April 30, 2016, 01:00']	[' proper role in a more multilateral world order. Hence his warnings about ', ' with David Cameron and']
['Colm Keena: Water movement about protest, not water']	The Irish Times	['April 30, 2016, 01:00']	[u' explanation for the political success of Donald Trump, the ', ' campaign, the Front Nationale, the right']
[u'Ulster Farmers Union president warns of Brexit risks for members']	The Irish Times	['April 29, 2016, 18:42']	[' ', ' were to materialise. Barclay Bell, who farms on an eighth-generation farm at Rathfriland in']
['IPOs stall amid market fears']	The Irish Times	[]	[u' services partner, PwC Ireland.  However, with uncertainty surrounding ', u' and the traditional hiatus']
['Budgeting for Brexit']	The Irish Times	[]	[' ', ' happens. And not only will many SMEs be hit directly, there is a potential longer-term impact on']
['Politicians focus on water yet real threat is Brexit']	The Irish Times	['April 29, 2016, 01:00']	['An interim management statement from Bank of Ireland suggests that Irish risks from a ', ' are no']
