[u'Ireland must have government to respond to Brexit vote']	The Irish Times	['April 8, 2016, 11:34']	[' severe turn for the worse if there was no official policy response to a ', u', Merrions chief']
['UK  industrial output chalks up biggest fall  in two years']	The Irish Times	[]	[' ', ' worries and a reduced chance of Bank of England rate rises, and is now its lowest against major']
["Brexit: Cameron warns young voters they have 'the most to lose'"]	The Irish Times	[]	["British Prime Minister David Cameron urges young Britons to vote in June's referendum on European Union membership, warning that leaving the bloc woul"]
['Brexit would gravely weaken both UK and Europe, says ex-PM']	The Irish Times	[]	[u' cannot. What is ', ' and why is the EU referendum being held? Frequently asked questions about the']
['David Duffy returns to high life in London after years of slog at AIB']	The Irish Times	['April 8, 2016, 07:30']	[u' government had a tough hand and everything went well.  ', u' . . . Im very relaxed. Were not taking a']
['The Brexit debate and  Ireland']	The Irish Times	[]	[' influence.  Some who advocate a ', ' do so on the basis of this kind of jingoistic politics. A ', ' may']
[u'David Cameron defends 9m Brexit mailshot']	The Irish Times	['April 7, 2016, 20:01']	[u' Labours campaign to remain in the EU, accused pro-', ' cabinet ministers of putting Northern Ireland']
['London Letter: Pro-EU mailshot sticks to letter of law']	The Irish Times	['April 7, 2016, 11:30']	[' ', ' campaigners suggest. They are split between the anti-immigration Farage camp who want to pull up']
['Irish emigrants and voting on Brexit']	The Irish Times	[]	[' Ireland from overseas.  As the Minister urges us to vote against ', ' for largely Irish interests, this']
[u'Cantillon: Brexit and Dil deadlock dampens mood']	The Irish Times	[]	[' about the global economic scene, the ', ' referendum in June and the prospect of prolonged political']
['Realpolitik needed in a real economy']	The Irish Times	[]	[' favourable, though ', ' could provide a nasty shock and a period of uncertainty. And there are signs in']
['Easter Rising led to creation of  Northern Ireland - UUP leader']	The Irish Times	['April 6, 2016, 17:45']	[' referendum and the forthcoming ', ' referendum were a distraction in that regard.  Opening the conference']
['Consumer sentiment weakens sharply in wake of election']	The Irish Times	['April 6, 2016, 12:07']	[' media coverage of the looming ', ' vote in the UK, which could have big implications for Ireland']
[u'Yanis Varoufakis warns against grave error of  Brexit']	The Irish Times	[]	[' this mean ', u' is the obvious course? My answer is an emphatic No! Here is why: if Britain and']
['Referendum to deepen Anglo-Scottish political gap']	The Irish Times	[]	[' against ', '.  Back in 1975, the Scottish National Party campaigned vigorously for withdrawal, warning']
['Irish in Britain should oppose Brexit, Minister says']	The Irish Times	['April 6, 2016, 01:00']	['Minister for Foreign Affairs Charlie Flanagan has urged Irish people living in Britain to join the campaign to keep the United Kingdom in the European']
[u'Viridian bondholders offered small sweetener']	The Irish Times	[]	['.   ', u' Take-up of the offer is likely to come down to bond investors views of the prospect of the UK']
['EU membership not hindering efforts to help steel plant, says Cameron']	The Irish Times	['April 5, 2016, 22:34']	[' likely post-', ' trade scenarios.  Alternatives Mr Cameron told his audience in Birmingham that']
['Irish jobless rate  hits eight-year low while euro zone growth stalls']	The Irish Times	['April 5, 2016, 11:23']	[' growth numbers from the euro area as a whole where fears about the global economy and a possible ']
['Lack of  government  hindering contingency plans in event of a Brexit, academic warns']	The Irish Times	['April 5, 2016, 08:01']	[' immediate and longer term effects of a ', u' on Ireland, the UK and the EU.  The main priority for any']
